Instance;method;variance level;Samples;Expected cost;Time
B-n39-k5;SAA;0,75;50;643,23;3604,5977821350098
B-n39-k5;SAA;0,75;20;606,00;3601,2041561603546
B-n39-k5;SE;0,05;20;565,32;206,46987128257751
B-n39-k5;SE;0,25;20;590,13;690,8647074699402
B-n39-k5;SE;0,75;20;612,37;316,67774534225464
E-n22-k4;SAA;0,05;10;375,28;10,560351133346558
E-n22-k4;SAA;0,05;50;375,28;81,36483144760132
E-n22-k4;SAA;0,05;20;375,28;9,920494318008423
E-n22-k4;SAA;0,25;10;383,62;24,27722191810608
E-n22-k4;SAA;0,25;50;383,62;192,74887323379517
E-n22-k4;SAA;0,25;20;383,63;10,448243379592896
E-n22-k4;SAA;0,75;10;384,86;25,545202255249023
E-n22-k4;SAA;0,75;50;383,90;258,20789551734924
E-n22-k4;SAA;0,75;20;376,79;9,180484294891357
E-n22-k4;SE;0,05;20;375,28;2,6343579292297363
E-n22-k4;SE;0,25;20;375,50;10,872345685958862
E-n22-k4;SE;0,75;20;378,25;10,145372867584229
E-n30-k3;SAA;0,05;10;505,01;25,586577892303467
E-n30-k3;SAA;0,05;50;505,01;676,9829452037811
E-n30-k3;SAA;0,05;20;505,01;63,770461559295654
E-n30-k3;SAA;0,25;10;505,01;26,739768743515015
E-n30-k3;SAA;0,25;50;505,01;843,7557473182678
E-n30-k3;SAA;0,25;20;505,01;64,39919638633728
E-n30-k3;SAA;0,75;10;505,01;38,5556857585907
E-n30-k3;SAA;0,75;50;505,01;440,50011825561523
E-n30-k3;SAA;0,75;20;505,01;84,28434324264526
E-n30-k3;SE;0,05;20;505,01;4,497029066085815
E-n30-k3;SE;0,25;20;505,01;4,6081743240356445
E-n30-k3;SE;0,75;20;505,01;4,566882610321045
E-n33-k4;SAA;0,05;10;838,69;1109,9415836334229
E-n33-k4;SAA;0,05;50;838,49;3603,4397180080414
E-n33-k4;SAA;0,05;20;838,63;872,3664135932922
E-n33-k4;SAA;0,25;10;842,53;3603,6737446784973
E-n33-k4;SAA;0,25;50;843,88;3603,511600255966
E-n33-k4;SAA;0,25;20;879,15;1945,624323606491
E-n33-k4;SAA;0,75;10;861,64;3603,503621339798
E-n33-k4;SAA;0,75;50;844,15;3629,4123463630676
E-n33-k4;SAA;0,75;20;845,33;3600,8365516662598
E-n33-k4;SE;0,05;20;838,52;188,10990238189697
E-n33-k4;SE;0,25;20;842,22;183,83738470077515
E-n33-k4;SE;0,75;20;844,41;76,23629593849182
P-n19-k2;SAA;0,05;10;220,65;11,465673208236694
P-n19-k2;SAA;0,05;50;220,64;4,925897598266602
P-n19-k2;SAA;0,05;20;220,65;8,646024465560913
P-n19-k2;SAA;0,25;10;221,73;2,0052599906921387
P-n19-k2;SAA;0,25;50;221,74;4,490546226501465
P-n19-k2;SAA;0,25;20;222,19;0,7732062339782715
P-n19-k2;SAA;0,75;10;224,99;2,1470863819122314
P-n19-k2;SAA;0,75;50;241,13;77,08134913444519
P-n19-k2;SAA;0,75;20;234,66;3,2066667079925537
P-n19-k2;SE;0,05;20;216,92;5,157123565673828
P-n19-k2;SE;0,25;20;222,36;2,6469473838806152
P-n19-k2;SE;0,75;20;227,24;2,744550943374634
P-n20-k2;SAA;0,05;10;233,22;8,044969081878662
P-n20-k2;SAA;0,05;50;233,75;566,8657727241516
P-n20-k2;SAA;0,05;20;227,51;16,308415174484253
P-n20-k2;SAA;0,25;10;234,84;2,9810245037078857
P-n20-k2;SAA;0,25;50;239,43;32,90674924850464
P-n20-k2;SAA;0,25;20;239,88;3,7115085124969482
P-n20-k2;SAA;0,75;10;243,12;5,8658154010772705
P-n20-k2;SAA;0,75;50;249,51;93,09401535987854
P-n20-k2;SAA;0,75;20;240,32;1,3095037937164307
P-n20-k2;SE;0,05;20;220,25;3,299346923828125
P-n20-k2;SE;0,25;20;235,69;3,070061683654785
P-n20-k2;SE;0,75;20;238,89;4,015124082565308
P-n22-k2;SAA;0,05;10;226,09;32,822580337524414
P-n22-k2;SAA;0,05;50;229,12;214,33086395263672
P-n22-k2;SAA;0,05;20;224,47;10,9923734664917
P-n22-k2;SAA;0,25;10;249,40;7,169587850570679
P-n22-k2;SAA;0,25;50;242,49;120,96538758277893
P-n22-k2;SAA;0,25;20;246,16;64,58035206794739
P-n22-k2;SAA;0,75;10;244,16;7,282724857330322
P-n22-k2;SAA;0,75;50;254,98;212,45358872413635
P-n22-k2;SAA;0,75;20;243,99;9,258108377456665
P-n22-k2;SE;0,05;20;224,18;3,6982152462005615
P-n22-k2;SE;0,25;20;228,95;6,477297306060791
P-n22-k2;SE;0,75;20;232,44;6,382701873779297
P-n22-k8;SAA;0,05;10;589,39;54,483742237091064
P-n22-k8;SAA;0,05;50;589,39;1013,7002964019775
P-n22-k8;SAA;0,05;20;589,39;60,917978286743164
P-n22-k8;SAA;0,25;10;589,40;51,05402684211731
P-n22-k8;SAA;0,25;50;589,41;513,8360817432404
P-n22-k8;SAA;0,25;20;589,40;26,536420345306396
P-n22-k8;SAA;0,75;10;591,23;58,64372110366821
P-n22-k8;SAA;0,75;50;592,10;668,676283121109
P-n22-k8;SAA;0,75;20;612,46;198,75556206703186
P-n22-k8;SE;0,05;20;589,39;10,686573505401611
P-n22-k8;SE;0,25;20;589,41;10,307964324951172
P-n22-k8;SE;0,75;20;591,96;10,093943119049072
P-n40-k5;SAA;0,05;10;464,51;236,7882800102234
P-n40-k5;SAA;0,05;50;464,52;2864,498707294464
P-n40-k5;SAA;0,05;20;464,51;350,79081654548645
P-n40-k5;SAA;0,25;10;477,36;3603,9504001140594
P-n40-k5;SAA;0,25;50;479,54;3604,5913002490997
P-n40-k5;SAA;0,25;20;471,59;299,0749373435974
P-n40-k5;SAA;0,75;50;515,10;3604,8350114822388
P-n40-k5;SAA;0,75;20;492,40;3601,351756811142
P-n40-k5;SE;0,05;20;464,51;185,43879866600037
P-n40-k5;SE;0,25;20;467,40;180,71694540977478
P-n40-k5;SE;0,75;20;474,75;180,69819617271423
